tconst	titleType	primaryTitle	originalTitle	isAdult	startYear	endYear	runtimeMinutes	genres
tt0027893	movie	little lord fauntleroy	little lord fauntleroy	0	1936	\n	102	drama
tt0027977	movie	modern times	modern times	0	1936	\n	87	comedy
tt0027980	movie	moonlight murder	moonlight murder	0	1936	\n	66	mystery
tt0028010	movie	my man godfrey	my man godfrey	0	1936	\n	94	comedy
tt0028212	movie	sabotage	sabotage	0	1936	\n	76	thriller
tt0028231	movie	secret agent	secret agent	0	1936	\n	86	thriller
tt0028282	movie	song of freedom	song of freedom	0	1936	\n	80	drama
tt0028629	movie	big fella	big fella	0	1937	\n	73	drama|musical
tt0028757	movie	a damsel in distress	a damsel in distress	0	1937	\n	101	comedy|musical|romance
tt0028944	movie	the good earth	the good earth	0	1937	\n	138	drama
tt0028950	movie	la grande illusion	la grande illusion	0	1937	\n	113	drama|war
tt0029146	movie	the life of emile zola	the life of emile zola	0	1937	\n	116	drama
tt0029162	movie	lost horizon	lost horizon	0	1937	\n	97	drama
tt0029546	movie	shall we dance	shall we dance	0	1937	\n	109	comedy|musical|romance
tt0029583	movie	snow white and the seven dwarfs	snow white and the seven dwarfs	0	1937	\n	83	animation|children|musical
tt0029588	movie	something to sing about	something to sing about	0	1937	\n	93	comedy|musical
tt0029606	movie	a star is born	a star is born	0	1937	\n	111	drama
tt0029811	movie	the girl was young	young and innocent	0	1937	\n	80	crime|thriller
tt0029843	movie	the adventures of robin hood	the adventures of robin hood	0	1938	\n	102	action|adventure
tt0029855	movie	algiers	algiers	0	1938	\n	96	drama|romance
tt0029947	movie	bringing up baby	bringing up baby	0	1938	\n	102	comedy
tt0029992	movie	a christmas carol	a christmas carol	0	1938	\n	69	drama
tt0030341	movie	the lady vanishes	the lady vanishes	0	1938	\n	96	comedy|mystery|romance|thriller
tt0030993	movie	you can't take it with you	you can't take it with you	0	1938	\n	126	comedy
tt0031381	movie	gone with the wind	gone with the wind	0	1939	\n	238	drama|romance|war
tt0031397	movie	gulliver's travels	gulliver's travels	0	1939	\n	76	adventure|animation|children
tt0031505	movie	jamaica inn	jamaica inn	0	1939	\n	108	drama
tt0031580	movie	the little princess	the little princess	0	1939	\n	93	children|drama
tt0031612	movie	the man from down under	the man from down under	0	1943	\n	103	drama
tt0031679	movie	mr. smith goes to washington	mr. smith goes to washington	0	1939	\n	129	drama
tt0031725	movie	ninotchka	ninotchka	0	1939	\n	110	comedy|romance
tt0031762	movie	only angels have wings	only angels have wings	0	1939	\n	121	drama
tt0031951	movie	son of frankenstein	son of frankenstein	0	1939	\n	99	horror
tt0032022	movie	they made me a criminal	they made me a criminal	0	1939	\n	92	crime|drama
tt0032138	movie	the wizard of oz	the wizard of oz	0	1939	\n	102	adventure|children|drama|musical
tt0032143	movie	the women	the women	0	1939	\n	133	comedy
tt0032215	movie	the ape	the ape	0	1940	\n	62	horror|sci-fi
tt0032234	movie	the bank dick	the bank dick	0	1940	\n	72	comedy
tt0032283	movie	british intelligence	british intelligence	0	1940	\n	61	drama
tt0032383	movie	dark command	dark command	0	1940	\n	94	western
tt0032455	movie	fantasia	fantasia	0	1940	\n	125	animation|children|musical
tt0032484	movie	foreign correspondent	foreign correspondent	0	1940	\n	120	thriller
tt0032551	movie	the grapes of wrath	the grapes of wrath	0	1940	\n	129	drama
tt0032553	movie	the great dictator	the great dictator	0	1940	\n	125	comedy
tt0032590	movie	hi-yo silver	hi-yo silver	0	1940	\n	69	western
tt0032599	movie	his girl friday	his girl friday	0	1940	\n	92	comedy
tt0032762	movie	the mark of zorro	the mark of zorro	0	1940	\n	94	adventure
tt0032818	movie	the mummy's hand	the mummy's hand	0	1940	\n	67	horror
tt0032881	movie	our town	our town	0	1940	\n	90	drama
tt0032904	movie	the philadelphia story	the philadelphia story	0	1940	\n	112	comedy|romance
tt0032910	movie	pinocchio	pinocchio	0	1940	\n	88	animation|children
tt0032976	movie	rebecca	rebecca	0	1940	\n	130	romance|thriller
tt0033021	movie	santa fe trail	santa fe trail	0	1940	\n	110	drama|romance|western
tt0033045	movie	the shop around the corner	the shop around the corner	0	1940	\n	99	comedy|romance
tt0033467	movie	citizen kane	citizen kane	0	1941	\n	119	drama
tt0033563	movie	dumbo	dumbo	0	1941	\n	64	animation|children|musical
tt0033729	movie	how green was my valley	how green was my valley	0	1941	\n	118	drama
tt0033804	movie	the lady eve	the lady eve	0	1941	\n	94	comedy|romance
tt0033870	movie	the maltese falcon	the maltese falcon	0	1941	\n	100	film-noir|mystery
tt0033891	movie	meet john doe	meet john doe	0	1941	\n	122	drama
tt0033922	movie	mr. & mrs. smith	mr. & mrs. smith	0	1941	\n	95	comedy
tt0034012	movie	penny serenade	penny serenade	0	1941	\n	119	drama|romance
tt0034055	movie	pot o' gold	pot o' gold	0	1941	\n	86	comedy|musical
tt0034240	movie	sullivan's travels	sullivan's travels	0	1941	\n	90	comedy
tt0034248	movie	suspicion	suspicion	0	1941	\n	99	mystery|thriller
tt0034398	movie	the wolf man	the wolf man	0	1941	\n	70	horror
tt0034492	movie	bambi	bambi	0	1942	\n	70	animation|children
tt0034493	movie	the children are watching us	i bambini ci guardano	0	1944	\n	84	drama
tt0034583	movie	casablanca	casablanca	0	1942	\n	102	drama|romance|war
tt0034742	movie	flying tigers	flying tigers	0	1942	\n	102	action|drama|war
tt0034786	movie	the ghost of frankenstein	the ghost of frankenstein	0	1942	\n	67	horror
tt0034862	movie	holiday inn	holiday inn	0	1942	\n	100	comedy|musical
tt0034889	movie	in old california	in old california	0	1942	\n	88	western
tt0035093	movie	mrs. miniver	mrs. miniver	0	1942	\n	134	drama|war
tt0035096	movie	the mummy's tomb	the mummy's tomb	0	1942	\n	61	horror
tt0035169	movie	the palm beach story	the palm beach story	0	1942	\n	88	comedy
tt0035279	movie	saboteur	saboteur	0	1942	\n	109	thriller
tt0035446	movie	to be or not to be	to be or not to be	0	1942	\n	99	comedy|drama|war
tt0035896	movie	for whom the bell tolls	for whom the bell tolls	0	1943	\n	170	adventure|war
tt0035899	movie	frankenstein meets the wolf man	frankenstein meets the wolf man	0	1943	\n	74	horror
tt0035966	movie	hangmen also die!	hangmen also die!	0	1943	\n	134	drama|war
tt0036094	movie	lady of burlesque	lady of burlesque	0	1943	\n	91	comedy|mystery
tt0036241	movie	the outlaw	the outlaw	0	1943	\n	116	western
tt0036261	movie	phantom of the opera	phantom of the opera	0	1943	\n	92	drama|thriller
tt0036326	short	saludos amigos	saludos amigos	0	1942	\n	42	animation|children|comedy
tt0036342	movie	shadow of a doubt	shadow of a doubt	0	1943	\n	108	film-noir|thriller
tt0036376	movie	son of dracula	son of dracula	0	1943	\n	80	horror
tt0036613	movie	arsenic and old lace	arsenic and old lace	0	1944	\n	118	comedy|mystery|thriller
tt0036653	movie	bluebeard	bluebeard	0	1944	\n	72	film-noir|horror
tt0036775	movie	double indemnity	double indemnity	0	1944	\n	107	crime|film-noir
tt0036824	movie	the fighting seabees	the fighting seabees	0	1944	\n	100	action|drama|war
tt0036855	movie	gaslight	gaslight	0	1944	\n	114	mystery|thriller
tt0036868	movie	the best years of our lives	the best years of our lives	0	1946	\n	170	drama|war
tt0036872	movie	going my way	going my way	0	1944	\n	126	comedy
tt0036931	movie	house of frankenstein	house of frankenstein	0	1944	\n	71	horror
tt0037008	movie	laura	laura	0	1944	\n	88	crime|film-noir|mystery
tt0037017	movie	lifeboat	lifeboat	0	1944	\n	97	drama|thriller|war
tt0037059	movie	meet me in st. louis	meet me in st. louis	0	1944	\n	113	musical
tt0037098	movie	the mummy's curse	the mummy's curse	0	1944	\n	60	horror
tt0037099	movie	the mummy's ghost	the mummy's ghost	0	1944	\n	61	horror
tt0037101	movie	murder, my sweet	murder, my sweet	0	1944	\n	95	film-noir|thriller
tt0037514	movie	anchors aweigh	anchors aweigh	0	1945	\n	140	comedy|musical
tt0037547	movie	blood on the sun	blood on the sun	0	1945	\n	98	drama|war
tt0037549	movie	the body snatcher	the body snatcher	0	1945	\n	77	horror
tt0037558	movie	brief encounter	brief encounter	0	1945	\n	86	drama|romance
tt0037674	movie	children of paradise	les enfants du paradis	0	1945	\n	189	drama|romance
tt0037793	movie	house of dracula	house of dracula	0	1945	\n	67	horror
tt0037884	movie	the lost weekend	the lost weekend	0	1945	\n	101	drama
tt0037913	movie	mildred pierce	mildred pierce	0	1945	\n	111	drama
tt0038109	movie	spellbound	spellbound	0	1945	\n	111	mystery|romance|thriller
tt0038120	movie	story of g.i. joe	story of g.i. joe	0	1945	\n	108	war
tt0038166	movie	the three caballeros	the three caballeros	0	1944	\n	71	animation|children|musical
tt0038235	movie	a walk in the sun	a walk in the sun	0	1945	\n	117	drama
tt0038300	movie	angel on my shoulder	angel on my shoulder	0	1946	\n	100	crime|drama
tt0038355	movie	the big sleep	the big sleep	0	1946	\n	114	film-noir|mystery
tt0038426	movie	costa brava	costa brava	0	1946	\n	77	drama
tt0038499	movie	duel in the sun	duel in the sun	0	1946	\n	129	western
tt0038559	movie	gilda	gilda	0	1946	\n	110	film-noir
tt0038650	movie	it's a wonderful life	it's a wonderful life	0	1946	\n	130	drama
tt0038718	movie	make mine music	make mine music	0	1946	\n	75	animation|children|musical
tt0038787	movie	notorious	notorious	0	1946	\n	101	film-noir|romance|thriller
tt0038969	movie	song of the south	song of the south	0	1946	\n	94	adventure|animation|children|musical
tt0038975	movie	the spiral staircase	the spiral staircase	0	1946	\n	83	thriller
tt0039004	movie	pastoral symphony	la symphonie pastorale	0	1946	\n	110	drama
tt0039152	movie	angel and the badman	angel and the badman	0	1947	\n	100	western
tt0039286	movie	crossfire	crossfire	0	1947	\n	86	crime|film-noir
tt0039404	movie	fun & fancy free	fun & fancy free	0	1947	\n	73	animation|children|musical
tt0039416	movie	gentleman's agreement	gentleman's agreement	0	1947	\n	118	drama
tt0039420	movie	the ghost and mrs. muir	the ghost and mrs. muir	0	1947	\n	104	drama|romance
tt0039428	movie	golden earrings	golden earrings	0	1947	\n	95	adventure|romance
tt0039589	movie	lured	lured	0	1947	\n	102	crime
tt0039628	movie	miracle on 34th street	miracle on 34th street	0	1947	\n	96	drama
tt0039631	movie	monsieur verdoux	monsieur verdoux	0	1947	\n	124	comedy
tt0039689	movie	out of the past	out of the past	0	1947	\n	97	film-noir
tt0039694	movie	the paradine case	the paradine case	0	1947	\n	125	drama
tt0039698	movie	the perils of pauline	the perils of pauline	0	1947	\n	96	comedy
tt0039748	movie	railroaded!	railroaded!	0	1947	\n	72	film-noir
tt0039881	movie	t-men	t-men	0	1947	\n	92	film-noir
tt0040068	movie	abbott and costello meet frankenstein	bud abbott lou costello meet frankenstein	0	1948	\n	83	comedy|horror
tt0040366	movie	force of evil	force of evil	0	1948	\n	78	film-noir
tt0040416	movie	hamlet	hamlet	0	1948	\n	154	drama
tt0040427	movie	he walked by night	he walked by night	0	1948	\n	79	crime|film-noir|thriller
tt0040506	movie	key largo	key largo	0	1948	\n	100	crime|drama|film-noir|thriller
tt0040522	movie	bicycle thieves	ladri di biciclette	0	1948	\n	89	drama
tt0040552	movie	the loves of carmen	the loves of carmen	0	1948	\n	99	drama
tt0040580	movie	melody time	melody time	0	1948	\n	75	animation|children|musical
tt0040664	movie	on our merry way	on our merry way	0	1948	\n	107	comedy|drama
tt0040723	movie	raw deal	raw deal	0	1948	\n	79	film-noir
tt0040746	movie	rope	rope	0	1948	\n	80	thriller
tt0040897	movie	the treasure of the sierra madre	the treasure of the sierra madre	0	1948	\n	126	adventure
tt0041113	movie	all the king's men	all the king's men	0	1949	\n	110	drama
tt0041503	movie	impact	impact	0	1949	\n	111	crime|drama
tt0041509	movie	the inspector general	the inspector general	0	1949	\n	102	musical
tt0041650	movie	mighty joe young	mighty joe young	0	1949	\n	94	adventure|children|drama
tt0041705	movie	fantastic night	la nuit fantastique	0	1942	\n	103	romance
tt0041716	movie	on the town	on the town	0	1949	\n	98	musical
tt0041890	movie	so dear to my heart	so dear to my heart	0	1948	\n	79	children|drama
tt0041959	movie	the third man	the third man	0	1949	\n	104	mystery|thriller
tt0042004	movie	under capricorn	under capricorn	0	1949	\n	117	drama
tt0042054	movie	crows and sparrows	wuya yu maque	0	1949	\n	113	drama
tt0042192	movie	all about eve	all about eve	0	1950	\n	138	drama
tt0042208	movie	the asphalt jungle	the asphalt jungle	0	1950	\n	112	crime|film-noir
tt0042276	movie	born yesterday	born yesterday	0	1950	\n	103	comedy
tt0042332	movie	cinderella	cinderella	0	1950	\n	74	animation|children|musical
tt0042354	movie	strange deception	il cristo proibito	0	1951	\n	99	drama
tt0042393	movie	destination moon	destination moon	0	1950	\n	92	sci-fi
tt0042451	movie	father of the bride	father of the bride	0	1950	\n	92	comedy
tt0042469	movie	the flying saucer	the flying saucer	0	1950	\n	69	sci-fi
tt0042546	movie	harvey	harvey	0	1950	\n	104	comedy
tt0042644	movie	kim	kim	0	1950	\n	113	children|drama
tt0042897	movie	rocketship x-m	rocketship x-m	0	1950	\n	77	sci-fi
tt0042994	movie	stage fright	stage fright	0	1950	\n	110	mystery|thriller
tt0043014	movie	sunset boulevard	sunset blvd.	0	1950	\n	110	film-noir
tt0043140	movie	five angles on murder	the woman in question	0	1950	\n	88	mystery
tt0043265	movie	the african queen	the african queen	0	1951	\n	105	action|adventure|romance|war
tt0043274	movie	alice in wonderland	alice in wonderland	0	1951	\n	75	animation|children|musical
tt0043278	movie	an american in paris	an american in paris	0	1951	\n	114	musical|romance
tt0043338	movie	ace in the hole	ace in the hole	0	1951	\n	111	drama
tt0043379	movie	captain horatio hornblower r.n.	captain horatio hornblower r.n.	0	1951	\n	117	action|adventure|war
tt0043456	movie	the day the earth stood still	the day the earth stood still	0	1951	\n	92	drama|sci-fi
tt0043618	movie	happy go lovely	happy go lovely	0	1951	\n	97	musical
tt0043899	movie	pandora and the flying dutchman	pandora and the flying dutchman	0	1951	\n	122	drama
tt0043924	movie	a place in the sun	a place in the sun	0	1951	\n	122	drama|romance
tt0044079	movie	strangers on a train	strangers on a train	0	1951	\n	101	film-noir|thriller
tt0044081	movie	a streetcar named desire	a streetcar named desire	0	1951	\n	122	drama
tt0044121	movie	the thing from another world	the thing from another world	0	1951	\n	87	sci-fi
tt0044364	movie	another man's poison	another man's poison	0	1951	\n	90	crime|drama
tt0044420	movie	the big trees	the big trees	0	1952	\n	89	action|drama
tt0044517	movie	the crimson pirate	the crimson pirate	0	1952	\n	105	adventure|comedy|sci-fi
tt0044672	movie	the greatest show on earth	the greatest show on earth	0	1952	\n	152	drama
tt0044706	movie	high noon	high noon	0	1952	\n	85	western
tt0044837	movie	limelight	limelight	0	1952	\n	137	drama
tt0044863	movie	macao	macao	0	1952	\n	81	adventure
tt0045061	movie	the quiet man	the quiet man	0	1952	\n	129	comedy|romance
tt0045152	movie	singin' in the rain	singin' in the rain	0	1952	\n	103	musical|romance
tt0045162	movie	the snows of kilimanjaro	the snows of kilimanjaro	0	1952	\n	114	adventure
tt0045251	movie	othello	the tragedy of othello: the moor of venice	0	1951	\n	90	drama
tt0045537	movie	the band wagon	the band wagon	0	1953	\n	112	comedy|musical
tt0045793	movie	from here to eternity	from here to eternity	0	1953	\n	118	drama|romance|war
tt0045826	movie	glen or glenda	glen or glenda	0	1953	\n	65	drama
tt0045877	movie	the hitch-hiker	the hitch-hiker	0	1953	\n	71	film-noir
tt0045897	movie	i confess	i confess	0	1953	\n	95	thriller
tt0045920	movie	it came from outer space	it came from outer space	0	1953	\n	81	sci-fi
tt0046126	movie	niagara	niagara	0	1953	\n	92	drama|thriller
tt0046183	movie	peter pan	peter pan	0	1953	\n	77	animation|children|fantasy|musical
tt0046213	movie	project moon base	project moon base	0	1953	\n	63	sci-fi
tt0046250	movie	roman holiday	roman holiday	0	1953	\n	118	comedy|romance
tt0046303	movie	shane	shane	0	1953	\n	118	drama|western
tt0046359	movie	stalag 17	stalag 17	0	1953	\n	120	drama|war
tt0046414	movie	beat the devil	beat the devil	0	1953	\n	89	comedy|drama
tt0046435	movie	titanic	titanic	0	1953	\n	98	action|drama
tt0046534	movie	the war of the worlds	the war of the worlds	0	1953	\n	85	action|sci-fi|war
tt0046672	movie	20,000 leagues under the sea	20,000 leagues under the sea	0	1954	\n	127	adventure|children|fantasy|sci-fi
tt0046876	movie	creature from the black lagoon	creature from the black lagoon	0	1954	\n	79	horror
tt0046907	movie	devil girl from mars	devil girl from mars	0	1954	\n	77	sci-fi
tt0046912	movie	dial m for murder	dial m for murder	0	1954	\n	105	mystery|thriller
tt0047034	movie	godzilla	gojira	0	1954	\n	96	action|sci-fi
tt0047127	movie	jail bait	jail bait	0	1954	\n	71	crime|drama
tt0047162	movie	the last time i saw paris	the last time i saw paris	0	1954	\n	116	drama
tt0047296	movie	on the waterfront	on the waterfront	0	1954	\n	108	crime|drama
tt0047396	movie	rear window	rear window	0	1954	\n	112	mystery|thriller
tt0047437	movie	sabrina	sabrina	0	1954	\n	113	comedy|romance
tt0047478	movie	seven samurai	shichinin no samurai	0	1954	\n	207	action|drama
tt0047573	movie	them!	them!	0	1954	\n	94	sci-fi|thriller|war
tt0047630	movie	ulysses	ulisse	0	1954	\n	117	adventure
tt0047673	movie	white christmas	white christmas	0	1954	\n	120	musical
tt0047878	movie	the big combo	the big combo	0	1955	\n	87	film-noir
tt0047898	movie	bride of the monster	bride of the monster	0	1955	\n	69	horror|sci-fi
tt0047977	movie	davy crockett: king of the wild frontier	davy crockett: king of the wild frontier	0	1955	\n	93	western
tt0048028	movie	east of eden	east of eden	0	1955	\n	118	drama
tt0048034	movie	the end of the affair	the end of the affair	0	1955	\n	105	drama
tt0048140	movie	guys and dolls	guys and dolls	0	1955	\n	150	musical
tt0048215	movie	it came from beneath the sea	it came from beneath the sea	0	1955	\n	79	sci-fi
tt0048254	movie	killer's kiss	killer's kiss	0	1955	\n	67	film-noir
tt0048280	movie	lady and the tramp	lady and the tramp	0	1955	\n	76	animation|children|comedy|musical|romance
tt0048316	movie	love is a many-splendored thing	love is a many-splendored thing	0	1955	\n	102	romance
tt0048342	movie	the man from laramie	the man from laramie	0	1955	\n	103	western
tt0048347	movie	the man with the golden arm	the man with the golden arm	0	1955	\n	119	drama
tt0048356	movie	marty	marty	0	1955	\n	90	drama|romance
tt0048380	movie	mister roberts	mister roberts	0	1955	\n	123	comedy|drama|war
tt0048473	movie	pather panchali	pather panchali	0	1955	\n	125	drama
tt0048491	movie	picnic	picnic	0	1956	\n	115	drama
tt0048545	movie	rebel without a cause	rebel without a cause	0	1955	\n	111	drama
tt0048696	movie	tarantula	tarantula	0	1955	\n	80	horror|sci-fi
tt0048728	movie	to catch a thief	to catch a thief	0	1955	\n	106	comedy|romance|thriller
tt0048750	movie	the trouble with harry	the trouble with harry	0	1955	\n	99	mystery|thriller
tt0048960	movie	around the world in eighty days	around the world in eighty days	0	1956	\n	175	adventure|comedy
tt0048977	movie	the bad seed	the bad seed	0	1956	\n	129	drama|thriller
tt0049169	movie	earth vs. the flying saucers	earth vs. the flying saucers	0	1956	\n	83	sci-fi
tt0049189	movie	...and god created woman	et dieu... créa la femme	0	1956	\n	95	drama
tt0049223	movie	forbidden planet	forbidden planet	0	1956	\n	98	sci-fi
tt0049261	movie	giant	giant	0	1956	\n	201	drama
tt0049279	movie	the great locomotive chase	the great locomotive chase	0	1956	\n	85	adventure|war
tt0049366	movie	invasion of the body snatchers	invasion of the body snatchers	0	1956	\n	80	horror|sci-fi
tt0049370	movie	it conquered the world	it conquered the world	0	1956	\n	71	sci-fi
tt0049406	movie	the killing	the killing	0	1956	\n	85	crime|film-noir
tt0049408	movie	the king and i	the king and i	0	1956	\n	133	musical
tt0049470	movie	the man who knew too much	the man who knew too much	0	1956	\n	120	thriller
tt0049516	movie	the mole people	the mole people	0	1956	\n	77	sci-fi
tt0049521	movie	death in the garden	la mort en ce jardin	0	1956	\n	104	drama
tt0049730	movie	the searchers	the searchers	0	1956	\n	119	western
tt0049967	movie	x the unknown	x the unknown	0	1956	\n	81	sci-fi
tt0050083	movie	12 angry men	12 angry men	0	1957	\n	96	drama
tt0050095	movie	the abominable snowman	the abominable snowman	0	1957	\n	91	horror|sci-fi
tt0050105	movie	an affair to remember	an affair to remember	0	1957	\n	115	romance
tt0050212	movie	the bridge on the river kwai	the bridge on the river kwai	0	1957	\n	161	drama|war
tt0050280	movie	the curse of frankenstein	the curse of frankenstein	0	1957	\n	82	horror
tt0050292	movie	daughter of dr. jekyll	daughter of dr. jekyll	0	1957	\n	71	horror
tt0050371	movie	a face in the crowd	a face in the crowd	0	1957	\n	126	drama
tt0050419	movie	funny face	funny face	0	1957	\n	103	comedy|musical
tt0050558	movie	the james dean story	the james dean story	0	1957	\n	81	documentary
tt0050598	movie	a king in new york	a king in new york	0	1957	\n	110	comedy|drama
tt0050610	movie	kronos	kronos	0	1957	\n	78	sci-fi
tt0050658	movie	love in the afternoon	love in the afternoon	0	1957	\n	130	comedy|romance
tt0050738	movie	my man godfrey	my man godfrey	0	1957	\n	92	comedy
tt0050783	movie	the nights of cabiria	le notti di cabiria	0	1957	\n	110	drama
tt0050798	movie	old yeller	old yeller	0	1957	\n	83	children|drama
tt0050814	movie	the pajama game	the pajama game	0	1957	\n	101	comedy
tt0050815	movie	pal joey	pal joey	0	1957	\n	111	comedy|musical|romance
tt0050825	movie	paths of glory	paths of glory	0	1957	\n	88	drama|war
tt0050873	movie	enemy from space	quatermass 2	0	1957	\n	85	sci-fi|thriller
tt0050976	movie	the seventh seal	det sjunde inseglet	0	1957	\n	96	drama
tt0051207	movie	the wrong man	the wrong man	0	1956	\n	105	drama|film-noir|thriller
tt0051337	movie	the 7th voyage of sinbad	the 7th voyage of sinbad	0	1958	\n	88	action|adventure|fantasy
tt0051383	movie	auntie mame	auntie mame	0	1958	\n	143	comedy|drama
tt0051406	movie	bell book and candle	bell book and candle	0	1958	\n	106	comedy|romance
tt0051411	movie	the big country	the big country	0	1958	\n	166	romance|western
tt0051418	movie	the blob	the blob	0	1958	\n	86	horror|sci-fi
tt0051459	movie	cat on a hot tin roof	cat on a hot tin roof	0	1958	\n	108	drama
tt0051622	movie	the fly	the fly	0	1958	\n	94	horror|sci-fi
tt0051658	movie	gigi	gigi	0	1958	\n	115	musical
